"","uid","cover"
"1","HM.1.A.11.2016",123
"2","HM.1.A.20.2017",159
"3","HM.1.A.35.2017",127
"4","HM.1.A.44.2016",109
"5","HM.1.A.51.2015",110
"6","HM.1.A.61.2015",190
"7","HM.1.A.64.2015",100
"8","HM.1.A.85.2017",138
"9","HM.1.A.91.2016",130
"10","HM.1.B.11.2017",119
"11","HM.1.B.20.2015",140
"12","HM.1.B.44.2017",112
"13","HM.1.B.51.2016",135
"14","HM.1.B.54.2016",119
"15","HM.1.B.55.2015",157
"16","HM.1.B.61.2016",149
"17","HM.1.B.85.2015",130
"18","HM.1.B.91.2017",96
"19","HM.1.C.11.2015",100
"20","HM.1.C.20.2016",109
"21","HM.1.C.35.2016",136
"22","HM.1.C.44.2015",94
"23","HM.1.C.51.2017",145
"24","HM.1.C.54.2017",117
"25","HM.1.C.61.2017",102
"26","HM.1.C.85.2016",112
"27","HM.1.C.91.2015",96
"28","HM.2.A.15.2015",153
"29","HM.2.A.29.2016",180
"30","HM.2.A.35.2015",139
"31","HM.2.A.53.2017",136
"32","HM.2.A.59.2017",109
"33","HM.2.A.6.2017",109
"34","HM.2.A.71.2016",142
"35","HM.2.A.8.2015",136
"36","HM.2.A.80.2016",112
"37","HM.2.B.15.2016",109
"38","HM.2.B.29.2017",152
"39","HM.2.B.35.2016",111
"40","HM.2.B.53.2015",104
"41","HM.2.B.59.2015",121
"42","HM.2.B.6.2015",166
"43","HM.2.B.71.2017",142
"44","HM.2.B.8.2016",192
"45","HM.2.B.80.2017",188
"46","HM.2.C.15.2017",141
"47","HM.2.C.29.2015",95
"48","HM.2.C.35.2017",161
"49","HM.2.C.53.2016",128
"50","HM.2.C.59.2016",143
"51","HM.2.C.6.2016",137
"52","HM.2.C.71.2015",104
"53","HM.2.C.8.2017",79
"54","HM.2.C.80.2015",105
"55","HM.3.A.3.2017",149
"56","HM.3.A.31.2015",136
"57","HM.3.A.47.2015",139
"58","HM.3.A.51.2016",150
"59","HM.3.A.7.2016",95
"60","HM.3.A.73.2017",134
"61","HM.3.A.74.2015",114
"62","HM.3.A.82.2016",119
"63","HM.3.A.88.2017",148
"64","HM.3.B.3.2015",138
"65","HM.3.B.31.2016",103
"66","HM.3.B.47.2016",89
"67","HM.3.B.52.2017",94
"68","HM.3.B.7.2017",117
"69","HM.3.B.73.2015",103
"70","HM.3.B.74.2016",111
"71","HM.3.B.82.2017",119
"72","HM.3.B.88.2015",114
"73","HM.3.C.3.2016",184
"74","HM.3.C.31.2017",94
"75","HM.3.C.47.2017",147
"76","HM.3.C.52.2015",92
"77","HM.3.C.7.2015",92
"78","HM.3.C.73.2016",171
"79","HM.3.C.74.2017",147
"80","HM.3.C.82.2015",164
"81","HM.3.C.88.2016",213
"82","HM.4.A.19.2017",123
"83","HM.4.A.2.2017",179
"84","HM.4.A.24.2015",134
"85","HM.4.A.37.2015",125
"86","HM.4.A.38.2017",113
"87","HM.4.A.58.2016",180
"88","HM.4.A.65.2016",175
"89","HM.4.A.73.2016",170
"90","HM.4.A.9.2015",113
"91","HM.4.B.19.2015",151
"92","HM.4.B.2.2015",92
"93","HM.4.B.24.2016",89
"94","HM.4.B.38.2015",86
"95","HM.4.B.58.2017",133
"96","HM.4.B.65.2017",131
"97","HM.4.B.67.2016",207
"98","HM.4.B.73.2017",134
"99","HM.4.B.9.2016",144
"100","HM.4.C.19.2016",116
"101","HM.4.C.2.2016",174
"102","HM.4.C.24.2017",105
"103","HM.4.C.38.2016",144
"104","HM.4.C.58.2015",202
"105","HM.4.C.65.2015",196
"106","HM.4.C.67.2017",113
"107","HM.4.C.73.2015",142
"108","HM.4.C.9.2017",79
"109","HM.5.A.10.2015",129
"110","HM.5.A.10.2017",87
"111","HM.5.A.14.2016",159
"112","HM.5.A.28.2016",114
"113","HM.5.A.29.2017",113
"114","HM.5.A.41.2016",127
"115","HM.5.A.78.2015",92
"116","HM.5.A.80.2017",95
"117","HM.5.A.83.2015",158
"118","HM.5.B.10.2015",172
"119","HM.5.B.10.2016",171
"120","HM.5.B.14.2017",148
"121","HM.5.B.28.2017",77
"122","HM.5.B.29.2015",149
"123","HM.5.B.41.2017",126
"124","HM.5.B.78.2016",172
"125","HM.5.B.80.2015",151
"126","HM.5.B.83.2016",131
"127","HM.5.C.10.2016",148
"128","HM.5.C.10.2017",134
"129","HM.5.C.14.2015",118
"130","HM.5.C.28.2015",165
"131","HM.5.C.29.2016",128
"132","HM.5.C.41.2015",150
"133","HM.5.C.78.2017",129
"134","HM.5.C.80.2016",113
"135","HM.5.C.83.2017",175
"136","HM.6.A.13.2015",148
"137","HM.6.A.47.2017",153
"138","HM.6.A.48.2017",168
"139","HM.6.A.63.2016",146
"140","HM.6.A.79.2016",188
"141","HM.6.A.84.2015",117
"142","HM.6.A.85.2015",129
"143","HM.6.A.86.2017",169
"144","HM.6.A.96.2016",135
"145","HM.6.B.13.2016",151
"146","HM.6.B.3.2017",180
"147","HM.6.B.79.2017",171
"148","HM.6.B.84.2016",190
"149","HM.6.B.85.2016",147
"150","HM.6.B.86.2015",155
"151","HM.6.B.96.2017",173
"152","HM.6.B.97.2015",133
"153","HM.6.B.98.2015",141
"154","HM.6.C.13.2017",155
"155","HM.6.C.3.2015",141
"156","HM.6.C.47.2016",106
"157","HM.6.C.48.2016",152
"158","HM.6.C.79.2015",129
"159","HM.6.C.84.2017",166
"160","HM.6.C.85.2017",189
"161","HM.6.C.86.2016",150
"162","HM.6.C.96.2015",147
"163","HM.7.A.17.2017",138
"164","HM.7.A.24.2016",86
"165","HM.7.A.24.2017",146
"166","HM.7.A.33.2017",94
"167","HM.7.A.53.2015",144
"168","HM.7.A.59.2015",108
"169","HM.7.A.63.2016",112
"170","HM.7.A.98.2015",149
"171","HM.7.A.99.2016",92
"172","HM.7.B.17.2015",138
"173","HM.7.B.24.2015",155
"174","HM.7.B.24.2017",149
"175","HM.7.B.33.2015",107
"176","HM.7.B.50.2016",157
