"","uid","species_group","cover"
"1","HM.1.A.11.2016","grass",56
"2","HM.1.A.11.2016","herb",46
"3","HM.1.A.11.2016","horsetail",0
"4","HM.1.A.11.2016","moss",0
"5","HM.1.A.11.2016","rush",4
"6","HM.1.A.11.2016","sedge",16
"7","HM.1.A.11.2016","woodrush",1
"8","HM.1.A.20.2017","grass",60
"9","HM.1.A.20.2017","herb",69
"10","HM.1.A.20.2017","horsetail",0
"11","HM.1.A.20.2017","moss",0
"12","HM.1.A.20.2017","rush",28
"13","HM.1.A.20.2017","sedge",2
"14","HM.1.A.20.2017","woodrush",0
"15","HM.1.A.35.2017","grass",52
"16","HM.1.A.35.2017","herb",61
"17","HM.1.A.35.2017","horsetail",0
"18","HM.1.A.35.2017","moss",0
"19","HM.1.A.35.2017","rush",12
"20","HM.1.A.35.2017","sedge",2
"21","HM.1.A.35.2017","woodrush",0
"22","HM.1.A.44.2016","grass",41
"23","HM.1.A.44.2016","herb",38
"24","HM.1.A.44.2016","horsetail",0
"25","HM.1.A.44.2016","moss",0
"26","HM.1.A.44.2016","rush",28
"27","HM.1.A.44.2016","sedge",2
"28","HM.1.A.44.2016","woodrush",0
"29","HM.1.A.51.2015","grass",35
"30","HM.1.A.51.2015","herb",59
"31","HM.1.A.51.2015","horsetail",1
"32","HM.1.A.51.2015","moss",0
"33","HM.1.A.51.2015","rush",11
"34","HM.1.A.51.2015","sedge",4
"35","HM.1.A.51.2015","woodrush",0
"36","HM.1.A.61.2015","grass",68
"37","HM.1.A.61.2015","herb",70
"38","HM.1.A.61.2015","horsetail",0
"39","HM.1.A.61.2015","moss",0
"40","HM.1.A.61.2015","rush",35
"41","HM.1.A.61.2015","sedge",17
"42","HM.1.A.61.2015","woodrush",0
"43","HM.1.A.64.2015","grass",35
"44","HM.1.A.64.2015","herb",49
"45","HM.1.A.64.2015","horsetail",0
"46","HM.1.A.64.2015","moss",0
"47","HM.1.A.64.2015","rush",12
"48","HM.1.A.64.2015","sedge",4
"49","HM.1.A.64.2015","woodrush",0
"50","HM.1.A.85.2017","grass",55
"51","HM.1.A.85.2017","herb",66
"52","HM.1.A.85.2017","horsetail",0
"53","HM.1.A.85.2017","moss",0
"54","HM.1.A.85.2017","rush",3
"55","HM.1.A.85.2017","sedge",14
"56","HM.1.A.85.2017","woodrush",0
"57","HM.1.A.91.2016","grass",61
"58","HM.1.A.91.2016","herb",37
"59","HM.1.A.91.2016","horsetail",0
"60","HM.1.A.91.2016","moss",0
"61","HM.1.A.91.2016","rush",17
"62","HM.1.A.91.2016","sedge",15
"63","HM.1.A.91.2016","woodrush",0
"64","HM.1.B.11.2017","grass",24
"65","HM.1.B.11.2017","herb",80
"66","HM.1.B.11.2017","horsetail",0
"67","HM.1.B.11.2017","moss",0
"68","HM.1.B.11.2017","rush",12
"69","HM.1.B.11.2017","sedge",3
"70","HM.1.B.11.2017","woodrush",0
"71","HM.1.B.20.2015","grass",65
"72","HM.1.B.20.2015","herb",51
"73","HM.1.B.20.2015","horsetail",0
"74","HM.1.B.20.2015","moss",0
"75","HM.1.B.20.2015","rush",11
"76","HM.1.B.20.2015","sedge",13
"77","HM.1.B.20.2015","woodrush",0
"78","HM.1.B.44.2017","grass",21
"79","HM.1.B.44.2017","herb",66
"80","HM.1.B.44.2017","horsetail",0
"81","HM.1.B.44.2017","moss",0
"82","HM.1.B.44.2017","rush",19
"83","HM.1.B.44.2017","sedge",6
"84","HM.1.B.44.2017","woodrush",0
"85","HM.1.B.51.2016","grass",45
"86","HM.1.B.51.2016","herb",67
"87","HM.1.B.51.2016","horsetail",0
"88","HM.1.B.51.2016","moss",0
"89","HM.1.B.51.2016","rush",21
"90","HM.1.B.51.2016","sedge",2
"91","HM.1.B.51.2016","woodrush",0
"92","HM.1.B.54.2016","grass",23
"93","HM.1.B.54.2016","herb",70
"94","HM.1.B.54.2016","horsetail",0
"95","HM.1.B.54.2016","moss",0
"96","HM.1.B.54.2016","rush",12
"97","HM.1.B.54.2016","sedge",14
"98","HM.1.B.54.2016","woodrush",0
"99","HM.1.B.55.2015","grass",58
"100","HM.1.B.55.2015","herb",59
"101","HM.1.B.55.2015","horsetail",0
"102","HM.1.B.55.2015","moss",0
"103","HM.1.B.55.2015","rush",30
"104","HM.1.B.55.2015","sedge",10
"105","HM.1.B.55.2015","woodrush",0
"106","HM.1.B.61.2016","grass",66
"107","HM.1.B.61.2016","herb",56
"108","HM.1.B.61.2016","horsetail",0
"109","HM.1.B.61.2016","moss",0
"110","HM.1.B.61.2016","rush",16
"111","HM.1.B.61.2016","sedge",11
"112","HM.1.B.61.2016","woodrush",0
"113","HM.1.B.85.2015","grass",57
"114","HM.1.B.85.2015","herb",31
"115","HM.1.B.85.2015","horsetail",0
"116","HM.1.B.85.2015","moss",0
"117","HM.1.B.85.2015","rush",30
"118","HM.1.B.85.2015","sedge",12
"119","HM.1.B.85.2015","woodrush",0
"120","HM.1.B.91.2017","grass",50
"121","HM.1.B.91.2017","herb",33
"122","HM.1.B.91.2017","horsetail",0
"123","HM.1.B.91.2017","moss",0
"124","HM.1.B.91.2017","rush",12
"125","HM.1.B.91.2017","sedge",1
"126","HM.1.B.91.2017","woodrush",0
"127","HM.1.C.11.2015","grass",21
"128","HM.1.C.11.2015","herb",43
"129","HM.1.C.11.2015","horsetail",0
"130","HM.1.C.11.2015","moss",0
"131","HM.1.C.11.2015","rush",34
"132","HM.1.C.11.2015","sedge",2
"133","HM.1.C.11.2015","woodrush",0
"134","HM.1.C.20.2016","grass",59
"135","HM.1.C.20.2016","herb",42
"136","HM.1.C.20.2016","horsetail",0
"137","HM.1.C.20.2016","moss",0
"138","HM.1.C.20.2016","rush",6
"139","HM.1.C.20.2016","sedge",2
"140","HM.1.C.20.2016","woodrush",0
"141","HM.1.C.35.2016","grass",41
"142","HM.1.C.35.2016","herb",62
"143","HM.1.C.35.2016","horsetail",0
"144","HM.1.C.35.2016","moss",0
"145","HM.1.C.35.2016","rush",31
"146","HM.1.C.35.2016","sedge",2
"147","HM.1.C.35.2016","woodrush",0
"148","HM.1.C.44.2015","grass",31
"149","HM.1.C.44.2015","herb",54
"150","HM.1.C.44.2015","horsetail",0
"151","HM.1.C.44.2015","moss",0
"152","HM.1.C.44.2015","rush",7
"153","HM.1.C.44.2015","sedge",2
"154","HM.1.C.44.2015","woodrush",0
"155","HM.1.C.51.2017","grass",50
"156","HM.1.C.51.2017","herb",61
