"uid","cover"
"HM.1.A.11.2016",123
"HM.1.A.20.2017",159
"HM.1.A.35.2017",127
"HM.1.A.44.2016",109
"HM.1.A.51.2015",110
"HM.1.A.61.2015",190
"HM.1.A.64.2015",100
"HM.1.A.85.2017",138
"HM.1.A.91.2016",130
"HM.1.B.11.2017",119
"HM.1.B.20.2015",140
"HM.1.B.44.2017",112
"HM.1.B.51.2016",135
"HM.1.B.54.2016",119
"HM.1.B.55.2015",157
"HM.1.B.61.2016",149
"HM.1.B.85.2015",130
"HM.1.B.91.2017",96
"HM.1.C.11.2015",100
"HM.1.C.20.2016",109
"HM.1.C.35.2016",136
"HM.1.C.44.2015",94
"HM.1.C.51.2017",145
"HM.1.C.54.2017",117
"HM.1.C.61.2017",102
"HM.1.C.85.2016",112
"HM.1.C.91.2015",96
"HM.2.A.15.2015",153
"HM.2.A.29.2016",180
"HM.2.A.35.2015",139
"HM.2.A.53.2017",136
"HM.2.A.59.2017",109
"HM.2.A.6.2017",109
"HM.2.A.71.2016",142
"HM.2.A.8.2015",136
"HM.2.A.80.2016",112
"HM.2.B.15.2016",109
"HM.2.B.29.2017",152
"HM.2.B.35.2016",111
"HM.2.B.53.2015",104
"HM.2.B.59.2015",121
"HM.2.B.6.2015",166
"HM.2.B.71.2017",142
"HM.2.B.8.2016",192
"HM.2.B.80.2017",188
"HM.2.C.15.2017",141
"HM.2.C.29.2015",95
"HM.2.C.35.2017",161
"HM.2.C.53.2016",128
"HM.2.C.59.2016",143
"HM.2.C.6.2016",137
"HM.2.C.71.2015",104
"HM.2.C.8.2017",79
"HM.2.C.80.2015",105
"HM.3.A.3.2017",149
"HM.3.A.31.2015",136
"HM.3.A.47.2015",139
"HM.3.A.51.2016",150
"HM.3.A.7.2016",95
"HM.3.A.73.2017",134
"HM.3.A.74.2015",114
"HM.3.A.82.2016",119
"HM.3.A.88.2017",148
"HM.3.B.3.2015",138
"HM.3.B.31.2016",103
"HM.3.B.47.2016",89
"HM.3.B.52.2017",94
"HM.3.B.7.2017",117
"HM.3.B.73.2015",103
"HM.3.B.74.2016",111
"HM.3.B.82.2017",119
"HM.3.B.88.2015",114
"HM.3.C.3.2016",184
"HM.3.C.31.2017",94
"HM.3.C.47.2017",147
"HM.3.C.52.2015",92
"HM.3.C.7.2015",92
"HM.3.C.73.2016",171
"HM.3.C.74.2017",147
"HM.3.C.82.2015",164
"HM.3.C.88.2016",213
"HM.4.A.19.2017",123
"HM.4.A.2.2017",179
"HM.4.A.24.2015",134
"HM.4.A.37.2015",125
"HM.4.A.38.2017",113
"HM.4.A.58.2016",180
"HM.4.A.65.2016",175
"HM.4.A.73.2016",170
"HM.4.A.9.2015",113
"HM.4.B.19.2015",151
"HM.4.B.2.2015",92
"HM.4.B.24.2016",89
"HM.4.B.38.2015",86
"HM.4.B.58.2017",133
"HM.4.B.65.2017",131
"HM.4.B.67.2016",207
"HM.4.B.73.2017",134
"HM.4.B.9.2016",144
"HM.4.C.19.2016",116
"HM.4.C.2.2016",174
"HM.4.C.24.2017",105
"HM.4.C.38.2016",144
"HM.4.C.58.2015",202
"HM.4.C.65.2015",196
"HM.4.C.67.2017",113
"HM.4.C.73.2015",142
"HM.4.C.9.2017",79
"HM.5.A.10.2015",129
"HM.5.A.10.2017",87
"HM.5.A.14.2016",159
"HM.5.A.28.2016",114
"HM.5.A.29.2017",113
"HM.5.A.41.2016",127
"HM.5.A.78.2015",92
"HM.5.A.80.2017",95
"HM.5.A.83.2015",158
"HM.5.B.10.2015",172
"HM.5.B.10.2016",171
"HM.5.B.14.2017",148
"HM.5.B.28.2017",77
"HM.5.B.29.2015",149
"HM.5.B.41.2017",126
"HM.5.B.78.2016",172
"HM.5.B.80.2015",151
"HM.5.B.83.2016",131
"HM.5.C.10.2016",148
"HM.5.C.10.2017",134
"HM.5.C.14.2015",118
"HM.5.C.28.2015",165
"HM.5.C.29.2016",128
"HM.5.C.41.2015",150
"HM.5.C.78.2017",129
"HM.5.C.80.2016",113
"HM.5.C.83.2017",175
"HM.6.A.13.2015",148
"HM.6.A.47.2017",153
"HM.6.A.48.2017",168
"HM.6.A.63.2016",146
"HM.6.A.79.2016",188
"HM.6.A.84.2015",117
"HM.6.A.85.2015",129
"HM.6.A.86.2017",169
"HM.6.A.96.2016",135
"HM.6.B.13.2016",151
"HM.6.B.3.2017",180
"HM.6.B.79.2017",171
"HM.6.B.84.2016",190
"HM.6.B.85.2016",147
"HM.6.B.86.2015",155
"HM.6.B.96.2017",173
"HM.6.B.97.2015",133
"HM.6.B.98.2015",141
"HM.6.C.13.2017",155
"HM.6.C.3.2015",141
"HM.6.C.47.2016",106
"HM.6.C.48.2016",152
"HM.6.C.79.2015",129
"HM.6.C.84.2017",166
"HM.6.C.85.2017",189
"HM.6.C.86.2016",150
"HM.6.C.96.2015",147
"HM.7.A.17.2017",138
"HM.7.A.24.2016",86
"HM.7.A.24.2017",146
"HM.7.A.33.2017",94
"HM.7.A.53.2015",144
"HM.7.A.59.2015",108
"HM.7.A.63.2016",112
"HM.7.A.98.2015",149
"HM.7.A.99.2016",92
"HM.7.B.17.2015",138
"HM.7.B.24.2015",155
"HM.7.B.24.2017",149
"HM.7.B.33.2015",107
"HM.7.B.50.2016",157
"HM.7.B.59.2016",144
