"uid","species_group","cover"
"HM.1.A.11.2016","grass",56
"HM.1.A.11.2016","herb",46
"HM.1.A.11.2016","horsetail",0
"HM.1.A.11.2016","moss",0
"HM.1.A.11.2016","rush",4
"HM.1.A.11.2016","sedge",16
"HM.1.A.11.2016","woodrush",1
"HM.1.A.20.2017","grass",60
"HM.1.A.20.2017","herb",69
"HM.1.A.20.2017","horsetail",0
"HM.1.A.20.2017","moss",0
"HM.1.A.20.2017","rush",28
"HM.1.A.20.2017","sedge",2
"HM.1.A.20.2017","woodrush",0
"HM.1.A.35.2017","grass",52
"HM.1.A.35.2017","herb",61
"HM.1.A.35.2017","horsetail",0
"HM.1.A.35.2017","moss",0
"HM.1.A.35.2017","rush",12
"HM.1.A.35.2017","sedge",2
"HM.1.A.35.2017","woodrush",0
"HM.1.A.44.2016","grass",41
"HM.1.A.44.2016","herb",38
"HM.1.A.44.2016","horsetail",0
"HM.1.A.44.2016","moss",0
"HM.1.A.44.2016","rush",28
"HM.1.A.44.2016","sedge",2
"HM.1.A.44.2016","woodrush",0
"HM.1.A.51.2015","grass",35
"HM.1.A.51.2015","herb",59
"HM.1.A.51.2015","horsetail",1
"HM.1.A.51.2015","moss",0
"HM.1.A.51.2015","rush",11
"HM.1.A.51.2015","sedge",4
"HM.1.A.51.2015","woodrush",0
"HM.1.A.61.2015","grass",68
"HM.1.A.61.2015","herb",70
"HM.1.A.61.2015","horsetail",0
"HM.1.A.61.2015","moss",0
"HM.1.A.61.2015","rush",35
"HM.1.A.61.2015","sedge",17
"HM.1.A.61.2015","woodrush",0
"HM.1.A.64.2015","grass",35
"HM.1.A.64.2015","herb",49
"HM.1.A.64.2015","horsetail",0
"HM.1.A.64.2015","moss",0
"HM.1.A.64.2015","rush",12
"HM.1.A.64.2015","sedge",4
"HM.1.A.64.2015","woodrush",0
"HM.1.A.85.2017","grass",55
"HM.1.A.85.2017","herb",66
"HM.1.A.85.2017","horsetail",0
"HM.1.A.85.2017","moss",0
"HM.1.A.85.2017","rush",3
"HM.1.A.85.2017","sedge",14
"HM.1.A.85.2017","woodrush",0
"HM.1.A.91.2016","grass",61
"HM.1.A.91.2016","herb",37
"HM.1.A.91.2016","horsetail",0
