"uid","grass","herb","horsetail","moss","rush","sedge","woodrush","cover_tot"
"HM.1.A.11.2016",56,46,0,0,4,16,1,123
"HM.1.A.20.2017",60,69,0,0,28,2,0,159
"HM.1.A.35.2017",52,61,0,0,12,2,0,127
"HM.1.A.44.2016",41,38,0,0,28,2,0,109
"HM.1.A.51.2015",35,59,1,0,11,4,0,110
"HM.1.A.61.2015",68,70,0,0,35,17,0,190
"HM.1.A.64.2015",35,49,0,0,12,4,0,100
"HM.1.A.85.2017",55,66,0,0,3,14,0,138
"HM.1.A.91.2016",61,37,0,0,17,15,0,130
"HM.1.B.11.2017",24,80,0,0,12,3,0,119
"HM.1.B.20.2015",65,51,0,0,11,13,0,140
"HM.1.B.44.2017",21,66,0,0,19,6,0,112
"HM.1.B.51.2016",45,67,0,0,21,2,0,135
"HM.1.B.54.2016",23,70,0,0,12,14,0,119
"HM.1.B.55.2015",58,59,0,0,30,10,0,157
"HM.1.B.61.2016",66,56,0,0,16,11,0,149
"HM.1.B.85.2015",57,31,0,0,30,12,0,130
"HM.1.B.91.2017",50,33,0,0,12,1,0,96
"HM.1.C.11.2015",21,43,0,0,34,2,0,100
"HM.1.C.20.2016",59,42,0,0,6,2,0,109
"HM.1.C.35.2016",41,62,0,0,31,2,0,136
"HM.1.C.44.2015",31,54,0,0,7,2,0,94
"HM.1.C.51.2017",50,61,0,0,20,14,0,145
"HM.1.C.54.2017",34,54,0,0,27,2,0,117
"HM.1.C.61.2017",42,42,0,0,16,2,0,102
"HM.1.C.85.2016",27,43,0,0,28,14,0,112
"HM.1.C.91.2015",26,60,0,0,3,7,0,96
"HM.2.A.15.2015",54,62,0,0,23,14,0,153
"HM.2.A.29.2016",89,66,0,0,23,2,0,180
"HM.2.A.35.2015",60,47,0,0,28,4,0,139
"HM.2.A.53.2017",42,42,0,0,47,5,0,136
"HM.2.A.59.2017",37,42,0,0,16,14,0,109
"HM.2.A.6.2017",40,45,0,0,23,1,0,109
"HM.2.A.71.2016",49,66,0,0,12,14,1,142
"HM.2.A.8.2015",52,49,0,0,21,14,0,136
"HM.2.A.80.2016",50,32,0,0,28,2,0,112
"HM.2.B.15.2016",38,46,0,0,19,6,0,109
"HM.2.B.29.2017",48,70,0,0,20,14,0,152
"HM.2.B.35.2016",27,56,0,0,20,8,0,111
"HM.2.B.53.2015",55,43,0,0,2,4,0,104
"HM.2.B.59.2015",39,59,0,1,19,3,0,121
"HM.2.B.6.2015",54,80,0,0,28,4,0,166
"HM.2.B.71.2017",68,67,0,0,5,2,0,142
"HM.2.B.8.2016",85,73,0,0,30,4,0,192
"HM.2.B.80.2017",57,65,0,0,52,14,0,188
"HM.2.C.15.2017",52,58,0,0,12,19,0,141
"HM.2.C.29.2015",41,45,0,0,7,2,0,95
"HM.2.C.35.2017",61,58,0,0,23,19,0,161
"HM.2.C.53.2016",35,41,0,0,48,4,0,128
"HM.2.C.59.2016",24,69,0,0,35,15,0,143
"HM.2.C.6.2016",69,29,0,0,35,4,0,137
"HM.2.C.71.2015",22,64,0,0,16,2,0,104
"HM.2.C.8.2017",28,26,0,0,24,1,0,79
"HM.2.C.80.2015",36,67,0,0,0,2,0,105
"HM.3.A.3.2017",47,65,0,0,23,14,0,149
"HM.3.A.31.2015",72,57,0,0,0,7,0,136
"HM.3.A.47.2015",68,53,0,0,16,2,0,139
"HM.3.A.51.2016",78,45,0,0,13,14,0,150
"HM.3.A.7.2016",39,35,0,0,16,5,0,95
"HM.3.A.73.2017",54,54,0,0,12,14,0,134
"HM.3.A.74.2015",41,54,0,0,12,7,0,114
"HM.3.A.82.2016",60,24,0,0,20,15,0,119
"HM.3.A.88.2017",59,59,0,0,28,2,0,148
"HM.3.B.3.2015",49,70,0,2,16,1,0,138
"HM.3.B.31.2016",58,32,0,0,11,2,0,103
"HM.3.B.47.2016",29,40,0,0,11,9,0,89
"HM.3.B.52.2017",21,56,0,0,15,2,0,94
"HM.3.B.7.2017",46,34,0,0,37,0,0,117
"HM.3.B.73.2015",43,52,0,0,5,3,0,103
"HM.3.B.74.2016",23,68,0,0,3,17,0,111
"HM.3.B.82.2017",27,46,0,0,42,4,0,119
"HM.3.B.88.2015",32,74,0,0,0,8,0,114
"HM.3.C.3.2016",76,64,0,0,36,8,0,184
"HM.3.C.31.2017",30,57,0,0,6,1,0,94
"HM.3.C.47.2017",56,54,0,0,21,16,0,147
"HM.3.C.52.2015",26,47,0,0,12,7,0,92
"HM.3.C.7.2015",31,54,0,0,0,7,0,92
"HM.3.C.73.2016",59,67,0,0,31,14,0,171
"HM.3.C.74.2017",25,74,0,0,34,14,0,147
"HM.3.C.82.2015",50,65,0,0,45,4,0,164
"HM.3.C.88.2016",90,84,0,0,28,11,0,213
"HM.4.A.19.2017",41,47,0,0,33,2,0,123
"HM.4.A.2.2017",61,77,0,0,25,16,0,179
"HM.4.A.24.2015",20,66,0,1,30,17,0,134
"HM.4.A.37.2015",28,80,0,1,12,4,0,125
"HM.4.A.38.2017",24,55,0,0,20,14,0,113
"HM.4.A.58.2016",74,75,0,0,16,15,0,180
"HM.4.A.65.2016",59,90,0,0,12,14,0,175
"HM.4.A.73.2016",64,60,0,0,30,16,0,170
"HM.4.A.9.2015",26,49,0,1,35,2,0,113
"HM.4.B.19.2015",66,59,0,5,17,4,0,151
"HM.4.B.2.2015",29,52,0,0,7,4,0,92
"HM.4.B.24.2016",21,51,0,0,11,6,0,89
"HM.4.B.38.2015",39,42,0,1,2,2,0,86
"HM.4.B.58.2017",53,59,0,0,19,2,0,133
"HM.4.B.65.2017",61,52,0,0,17,1,0,131
"HM.4.B.67.2016",72,60,0,0,67,8,0,207
"HM.4.B.73.2017",63,66,1,0,2,2,0,134
"HM.4.B.9.2016",59,50,0,0,34,1,0,144
"HM.4.C.19.2016",64,48,0,0,0,4,0,116
"HM.4.C.2.2016",71,69,0,0,20,14,0,174
"HM.4.C.24.2017",61,27,0,0,16,1,0,105
"HM.4.C.38.2016",64,76,0,0,1,3,0,144
"HM.4.C.58.2015",81,105,0,0,12,4,0,202
"HM.4.C.65.2015",92,84,0,0,12,8,0,196
"HM.4.C.67.2017",39,66,0,0,7,1,0,113
"HM.4.C.73.2015",66,67,0,0,7,2,0,142
"HM.4.C.9.2017",20,42,0,0,3,14,0,79
"HM.5.A.10.2015",35,70,0,2,20,2,0,129
"HM.5.A.10.2017",22,57,0,0,7,1,0,87
"HM.5.A.14.2016",68,74,0,0,12,5,0,159
"HM.5.A.28.2016",51,50,0,0,8,5,0,114
"HM.5.A.29.2017",40,65,0,0,7,1,0,113
"HM.5.A.41.2016",60,45,0,0,7,15,0,127
"HM.5.A.78.2015",26,49,0,1,16,0,0,92
"HM.5.A.80.2017",34,52,0,0,7,2,0,95
"HM.5.A.83.2015",47,88,0,0,23,0,0,158
"HM.5.B.10.2015",64,75,0,0,19,14,0,172
"HM.5.B.10.2016",64,57,0,0,34,16,0,171
"HM.5.B.14.2017",62,69,0,0,3,14,0,148
"HM.5.B.28.2017",27,48,0,0,1,1,0,77
"HM.5.B.29.2015",72,70,0,0,3,4,0,149
"HM.5.B.41.2017",38,37,0,0,37,14,0,126
"HM.5.B.78.2016",71,85,1,0,13,2,0,172
"HM.5.B.80.2015",58,73,1,0,2,17,0,151
"HM.5.B.83.2016",38,82,1,0,8,2,0,131
"HM.5.C.10.2016",51,81,0,0,12,3,1,148
"HM.5.C.10.2017",28,77,0,0,12,17,0,134
"HM.5.C.14.2015",43,65,0,0,0,10,0,118
